STRING ID	DESCRIPTION	ENGLISH	FRENCH / FRANÇAIS	SPANISH / ESPAÑOL	GERMAN / DEUTSCH	ITALIAN / ITALIANO	PORTUGUESE / PORTUGUÊS (BR)	PORTUGUESE / PORTUGUÊS (PT)	RUSSIAN / РУССКИЙ		*
LANGUAGE_CODE	IETF language tag(s) without dash	enUS enGB	frFR	esES esAR esMX	deDE deCH deAT	itIT itCH	ptBR	ptPT	ruRU		
LANGUAGE_EN	[LanguageName] in english	English	French	Spanish	German	Italian 	Portuguese (Brazil)	Portuguese	Russian		
LANGUAGE_DIRECTION	ltr or rtl (text direction used by game code)	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr		
											
Polyglot	100										
SWORD_TYPE	None	Sword Type	Type d'épée	Tipo de espada	Schwertart	Tipo di spada	Tipo de espada	Tipo de espada	Тип меча		
SWORD_NAME	None	Sword {0}	Sword {0}	Espada {0}	Schwert {0}	Spada {0}	Espada {0}	Espada {0}	Меч {0}		
EMPTY_SLOT	None	Empty slot	Emplacement vide	Ranura vacía	Leerer Schlitz	Slot vuoto	Slot vazio	Slot vazio	Пустой слот		
GO_BUTTON	None	GO!	ALLER!	¡VAMOS!	GEHEN!	ANDARE!	VAI!	VAI!	ГО!		
NONE	None	none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
EDIT_BUTTON		EDIT	ÉDITER	EDITAR	BEARBEITEN	MODIFICARE	EDITAR	EDITAR	РЕДАКТИРОВАТЬ		
READY_BUTTON		READY	PRÊT	LISTO	BEREIT	PRONTO	PRONTO	PRONTO	ГОТОВ		
ITEM_NAME_PISTOL		Pistol	Pistolet	Pistola	Pistole	Pistola	Pistola	Pistola	Пистолет		
ITEM_DESCR_PISTOL		Pew-pew	Pan Pan	Pew-lew	Pew-Pew	Pew-Pew.	Piu Piu	Piu Piu	Пиу-пиу		
ITEM_NAME_WATER_PISTOL		Water Gun	Pistolet à eau	Pistola de agua	Wasserpistole	Pistola ad acqua	arma De Agua	arma De Agua	Водяной пистолет		
ITEM_DESCR_WATER_PISTOL		Mmmmm... wet beans...	Mmmmm ... haricots humides ...	Mmmmm ... frijoles húmedos ...	Mmmmm ... Nasse Bohnen ...	Mmmmm ... fagioli bagnati ...	Mmmmm ... feijões molhados ...	Mmmmm ... feijões molhados ...	Ммммм ... мокрый бобы ...		
LVL_MAX_STR		MAX	MAX	MAX	MAX	MAX.	MAX.	MAX.	МАКС		
LVL_STR		LVL {0}	LVL {0}	LVL {0}	LVL {0}	LVL {0}	LVL {0}	LVL {0}	УР {0}		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
		none	rien	ninguna	keiner	nessuno	Nenhum	Nenhum	никто		
